author,fname,lname,gender,pubtitle,date,id
"George-Jackson, Casey",Casey, George-Jackson,male,"Journal of College Student Retention: Research, Theory and Practice",2018,1407
"Shapiro, Casey",Casey,Shapiro,male,New Directions for Institutional Research,2011,944
"George, Casey",Casey, George,male,American Educational Research Journal,2018,1309
"George-Jackson, Casey",Casey,George-Jackson,male,Journal of Women and Minorities in Science and Engineering,2011,415
"George-Jackson, Casey",Casey,George-Jackson,male,NASPA Journal About Women in Higher Education,2014,1294
"Degen, Cassandra",Cassandra, Degen,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,253
"Eno, Cassie",Cassie, Eno,female,Sex Roles,2015,1815
"Eno, Cassie",Cassie, Eno,female,Sex Roles,2017,1773
"Samuelson, Cate",Cate, Samuelson,female,Research in Higher Education,2014,1719
"Rowen, Cate",Cate, Rowen,female,Cell Biology Education,2017,207
"Scoglio, Caterina",Caterina, Scoglio,female,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,807
"Mavriplis, Catherine",Catherine, Mavriplis,female,Journal of Diversity in Higher Education,2009,122
"Riegle-Crumb, Catherine",Catherine,Riegle-Crumb,female,Educational Researcher,2010,1334
"Dulac, Catherine",Catherine, Dulac,female,Cell Stem Cell,2015,455
"Harnois, Catherine",Catherine,Harnois,female,Social psychology quarterly,2015,1544
"Brawner, Catherine",Catherine,Brawner,female,Journal of Engineering Education,2012,961
"Riegle-Crumb, Catherine",Catherine,Riegle-Crumb,female,American Educational Research Journal,2012,1317
"Riegle-Crumb, Catherine",Catherine,Riegle-Crumb,female,Frontiers in Psychology,2017,745
"Riegle-Crumb, Catherine",Catherine,Riegle-Crumb,female,Sex Roles,2016,1761
"van Tuijl, Cathy",Cathy,van Tuijl,female,International Journal of Technology and Design Education,2016,1648
"Lockhart, Cathy",Cathy,Lockhart,female,International Journal of Art & Design Education,2016,1923
"Figuereido, Catia",Catia, Figuereido,female,Journal of vocational behavior,2013,634
"Hughes, Cayce",Cayce,Hughes,male,"Gender, Work and Organization",2017,1914
"Forbes, Chad",Chad,Forbes,male,Social Cognitive and Affective Neuroscience,2018,1086
"Muller, Chandra",Chandra, Muller,female,American Educational Research Journal,2012,1320
"Poondej, Chanut",Chanut, Poondej,NA,Physical Review Physics Education Research,2016,61
"Baird, Chardie",Chardie,Baird,NA,IEEE Instrumentation and Measurement Magazine,2018,826
"Judd, Charles",Charles, Judd,male,Sex Roles,2016,1754
"Calderwood, Charles",Charles, Calderwood,male,Teachers College Record,2013,500
"Cramer, Charlotte",Charlotte, Cramer,female,Psychology of Women Quarterly,2015,1473
"Stoop, Chatanika",Chatanika, Stoop,NA,Bioscience,2017,1068
"Moore, Chelsea",Chelsea, Moore,female,Sex Roles,2016,1763
"Leggon, Cheryl",Cheryl,Leggon,female,American Behavioral Scientist,2010,1307
"Kondrak, Cheryl",Cheryl, Kondrak,female,Personality and Social Psychology Bulletin,2018,1435
"Patel, Chirag",Chirag, Patel,male,NASPA Journal About Women in Higher Education,2017,1289
"Ruff, Chloe",Chloe, Ruff,female,Social Psychology of Education,2013,1829
"Rasmussen, Chris",Chris, Rasmussen,male,PLoS ONE,2016,1182
